date,asset_id,bid,ask,last,volume,market_cap_usd,source,event_type,precision_status,source_reference,observed_at,period_end,frequency
2022-12-30,rally-karuizawa,,,5.95,0.0,77350.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-30T00:00:00Z,2022-12-31,quarterly
2023-03-28,rally-karuizawa,,,5.9,0.0,76700.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-28T00:00:00Z,2023-03-31,quarterly
2023-06-29,rally-karuizawa,,,5.5,0.0,71500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-29T00:00:00Z,2023-06-30,quarterly
2023-09-29,rally-karuizawa,,,4.5,0.0,58500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-29T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-karuizawa,,,4.0,0.0,52000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-28,rally-karuizawa,,,4.5,0.0,58500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-28T00:00:00Z,2024-03-31,quarterly
2024-06-25,rally-karuizawa,,,4.3,0.0,55900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-25T00:00:00Z,2024-06-30,quarterly
2024-09-26,rally-karuizawa,,,3.8,0.0,49400.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-26T00:00:00Z,2024-09-30,quarterly
2024-12-27,rally-karuizawa,,,3.85,0.0,50050.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-27T00:00:00Z,2024-12-31,quarterly
2025-03-31,rally-karuizawa,,,3.75,0.0,48750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-03-31T00:00:00Z,2025-03-31,quarterly
2025-06-27,rally-karuizawa,,,3.55,0.0,46150.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-06-27T00:00:00Z,2025-06-30,quarterly
2025-09-29,rally-karuizawa,,,3.5,0.0,45500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-09-29T00:00:00Z,2025-09-30,quarterly
2025-12-30,rally-karuizawa,,,3.0,0.0,39000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-12-30T00:00:00Z,2025-12-31,quarterly
2026-03-27,rally-karuizawa,,,3.0,0.0,39000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-03-27T00:00:00Z,2026-03-31,quarterly
2026-06-29,rally-karuizawa,,,3.25,0.0,42250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-06-29T00:00:00Z,2026-06-30,quarterly
2022-03-30,rally-macallan1,,,18.0,0.0,18000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-03-30T00:00:00Z,2022-03-31,quarterly
2022-06-27,rally-macallan1,,,18.25,0.0,18250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-06-27T00:00:00Z,2022-06-30,quarterly
2022-09-28,rally-macallan1,,,22.5,0.0,22500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-09-28T00:00:00Z,2022-09-30,quarterly
2022-12-30,rally-macallan1,,,24.5,0.0,24500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-30T00:00:00Z,2022-12-31,quarterly
2023-03-29,rally-macallan1,,,24.9,0.0,24900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-29T00:00:00Z,2023-03-31,quarterly
2023-06-30,rally-macallan1,,,21.5,0.0,21500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-30T00:00:00Z,2023-06-30,quarterly
2023-09-27,rally-macallan1,,,15.0,0.0,15000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-27T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-macallan1,,,13.35,0.0,13350.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-28,rally-macallan1,,,15.0,0.0,15000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-28T00:00:00Z,2024-03-31,quarterly
2024-06-28,rally-macallan1,,,17.75,0.0,17750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-28T00:00:00Z,2024-06-30,quarterly
2024-09-26,rally-macallan1,,,12.9,0.0,12900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-26T00:00:00Z,2024-09-30,quarterly
2024-12-30,rally-macallan1,,,14.0,0.0,14000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-30T00:00:00Z,2024-12-31,quarterly
2025-03-27,rally-macallan1,,,14.5,0.0,14500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-03-27T00:00:00Z,2025-03-31,quarterly
2025-06-30,rally-macallan1,,,17.9,0.0,17900.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-06-30T00:00:00Z,2025-06-30,quarterly
2025-09-25,rally-macallan1,,,17.75,0.0,17750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-09-25T00:00:00Z,2025-09-30,quarterly
2025-12-29,rally-macallan1,,,16.75,0.0,16750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-12-29T00:00:00Z,2025-12-31,quarterly
2026-03-27,rally-macallan1,,,15.0,0.0,15000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-03-27T00:00:00Z,2026-03-31,quarterly
2026-06-29,rally-macallan1,,,12.5,0.0,12500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-06-29T00:00:00Z,2026-06-30,quarterly
2022-06-27,rally-macallan2,,,6.0,0.0,30000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-06-27T00:00:00Z,2022-06-30,quarterly
2022-09-29,rally-macallan2,,,8.75,0.0,43750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-09-29T00:00:00Z,2022-09-30,quarterly
2022-12-30,rally-macallan2,,,8.85,0.0,44250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-30T00:00:00Z,2022-12-31,quarterly
2023-03-29,rally-macallan2,,,11.95,0.0,59750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-29T00:00:00Z,2023-03-31,quarterly
2023-06-30,rally-macallan2,,,9.95,0.0,49750.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-30T00:00:00Z,2023-06-30,quarterly
2023-09-26,rally-macallan2,,,7.0,0.0,35000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-26T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-macallan2,,,9.0,0.0,45000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-28,rally-macallan2,,,8.0,0.0,40000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-28T00:00:00Z,2024-03-31,quarterly
2024-06-26,rally-macallan2,,,6.05,0.0,30250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-26T00:00:00Z,2024-06-30,quarterly
2024-09-27,rally-macallan2,,,9.0,0.0,45000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-27T00:00:00Z,2024-09-30,quarterly
2024-12-27,rally-macallan2,,,6.7,0.0,33500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-27T00:00:00Z,2024-12-31,quarterly
2025-03-31,rally-macallan2,,,7.45,0.0,37250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-03-31T00:00:00Z,2025-03-31,quarterly
2025-06-27,rally-macallan2,,,7.0,0.0,35000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-06-27T00:00:00Z,2025-06-30,quarterly
2025-09-29,rally-macallan2,,,6.85,0.0,34250.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-09-29T00:00:00Z,2025-09-30,quarterly
2025-12-30,rally-macallan2,,,7.3,0.0,36500.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2025-12-30T00:00:00Z,2025-12-31,quarterly
2026-03-27,rally-macallan2,,,6.0,0.0,30000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-03-27T00:00:00Z,2026-03-31,quarterly
2026-06-29,rally-macallan2,,,5.8,0.0,29000.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2026-06-29T00:00:00Z,2026-06-30,quarterly
2022-12-30,rally-macallan3,,,6.5,0.0,26650.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2022-12-30T00:00:00Z,2022-12-31,quarterly
2023-03-31,rally-macallan3,,,7.25,0.0,29725.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-03-31T00:00:00Z,2023-03-31,quarterly
2023-06-29,rally-macallan3,,,7.15,0.0,29315.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-06-29T00:00:00Z,2023-06-30,quarterly
2023-09-26,rally-macallan3,,,6.9,0.0,28290.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-09-26T00:00:00Z,2023-09-30,quarterly
2023-12-29,rally-macallan3,,,6.9,0.0,28290.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2023-12-29T00:00:00Z,2023-12-31,quarterly
2024-03-28,rally-macallan3,,,5.9,0.0,24190.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-03-28T00:00:00Z,2024-03-31,quarterly
2024-06-26,rally-macallan3,,,5.9,0.0,24190.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-06-26T00:00:00Z,2024-06-30,quarterly
2024-09-27,rally-macallan3,,,6.8,0.0,27880.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-09-27T00:00:00Z,2024-09-30,quarterly
2024-12-31,rally-macallan3,,,6.3,0.0,25830.0,manual:chart_observation:exact:rally_app_chart,chart_observation,exact,Rally App,2024-12-31T00:00:00Z,2024-12-31,quarterly
