date,universe,category,weighting_method,asset_id,ticker,constituent_status,units_held,price,price_source,position_value,portfolio_weight,entry_date,exit_date,terminal_proceeds,realized_pl,rebalance_trade_value
2025-05-31,full_market,all,equal_weight,rally-birkinbor,BIRKINBOR,included_in_index,0.21370008225855322,20.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-02-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-birkintan,BIRKINTAN,included_in_index,0.22202605948940593,19.25,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-06-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-himalaya,HIMALAYA,included_in_index,0.07914817861427897,54.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-05-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-soblack,SOBLACK,included_in_index,0.1515603420273427,28.2,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-79stella,79STELLA,included_in_index,1.068500411292766,4.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-10-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-93daytona,93DAYTONA,included_in_index,0.2414690195011901,17.7,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-09-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-bondwatch,BONDWATCH,included_in_index,1.5541824164258415,2.75,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2022-01-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-dimaggio2,DIMAGGIO2,included_in_index,0.3903197849471292,10.95,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-11-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-dominos,DOMINOS,included_in_index,0.8380395382688361,5.1,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-01-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-gmtblack1,GMTBLACK1,included_in_index,0.14246672150570214,30.0,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2020-06-01,,0.0,0.0,
2025-05-31,full_market,all,equal_weight,rally-riviera,RIVIERA,included_in_index,1.0424394256514793,4.1,asof_observed_or_offering,4.274001645171064,0.04347826086956521,2021-04-01,,0.0,0.0,
