exit_id,asset_id,series_name,sale_price,sale_date,realized_return,source_url,source_confidence
exit-0001688804-0001688804-25-000007-79GRETZKY,,Series #79GRETZKY,920000.0,2024-01-31,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-17DUJAC,,Series #17DUJAC,35500.0,2025-05-08,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-FAUBOURG2,,Series #FAUBOURG2,180000.0,2024-12-14,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-92JORDAN,,Series #92JORDAN,52000.0,2023-04-24,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-14KOBE,,Series #14KOBE,95000.0,2022-01-21,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-86DK3,,Series #86DK3,60000.0,2021-08-30,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-16KOBE,,Series #16KOBE,800000.0,2023-01-21,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-17MAHOMES,,Series #17MAHOMES,350000.0,2022-01-24,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-68RYAN,,Series #68RYAN,55954.0,2024-08-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-XMEN1,,Series #XMEN1,325000.0,2021-06-21,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-48JACKIE,,Series #48JACKIE,260000.0,2024-09-25,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-05MJLJ,,Series #05MJLJ,56650.0,2024-12-18,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-NEOBOX,,Series #NEOBOX,33000.0,2025-05-23,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-LJKOBE,,Series #LJKOBE,215000.0,2021-11-15,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-99MJRETRO,,Series #99MJRETRO,38000.0,2024-03-31,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-IPOD,,Series #IPOD,29000.0,2023-08-03,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-85JORDAN2,,Series #85JORDAN2,437500.0,2024-04-11,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-36OWENS,,Series #36OWENS,27200.0,2024-10-17,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-20HERBERT,,Series #20HERBERT,86400.0,2022-07-08,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-HENDERSON,,Series #HENDERSON,121001.11,2024-02-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-03RONALDO,,Series #03RONALDO,105000.0,2025-08-13,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-HONUS2,,Series #HONUS2,97001.0,2024-08-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-BAYC7359,,Series #BAYC7359,43955.0,2025-09-18,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-OHTANI1,,Series #OHTANI1,78400.0,2024-12-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-OHTANI2,,Series #OHTANI2,97440.0,2024-12-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-HOBBIT,,Series #HOBBIT,90000.0,2024-11-07,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-IPADPROTO,,Series #IPADPROTO,21997.0,2024-08-22,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000007-15COBB,,Series #15COBB,75795.0,2024-08-29,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,0.88
exit-0001688804-0001688804-25-000001,,SERIES #05MJLJ,56650.0,2025-03-19,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000001/series05mjljform1u.htm,0.8
