date,category,category_market_cap,active_asset_count,direct_observation_market_cap,carried_forward_market_cap,price_effect,new_issuance,removed_capital,pl_contribution,total_market_cap,category_weight,prior_category_market_cap,period_return,return_index,frequency,calculated_at,calculation_version
2021-02-01,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1892600.0,0.3548029166226355,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-01,watches,600500.0,10,0.0,600500.0,0.0,0.0,0.0,0.0,1892600.0,0.3172883863468245,600500.0,0.0,124.18820673124655,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-01,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1892600.0,0.1614709922857445,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-09,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1906600.0,0.16521556697786635,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-09,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1906600.0,0.35219762928773735,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-09,watches,614500.0,10,50000.0,564500.0,14000.0,0.0,0.0,14000.0,1906600.0,0.32230147907269485,600500.0,0.023313905079100694,127.08351879492257,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-09,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1906600.0,0.16028532466170145,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-18,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1921600.0,0.16392589508742714,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-18,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1921600.0,0.34944837635303916,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-18,watches,629500.0,10,72000.0,557500.0,15000.0,0.0,0.0,15000.0,1921600.0,0.3275915903413822,614500.0,0.024410089503661414,130.18563886314686,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-02-18,wine and whiskey,305600.0,8,0.0,305600.0,0.0,0.0,0.0,0.0,1921600.0,0.15903413821815154,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-01,fossils,315000.0,2,0.0,315000.0,0.0,0.0,0.0,0.0,1943600.0,0.16207038485285039,315000.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-01,handbags,671500.0,8,0.0,671500.0,0.0,0.0,0.0,0.0,1943600.0,0.34549289977361597,671500.0,0.0,94.36461184805391,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-01,watches,629500.0,10,0.0,629500.0,0.0,0.0,0.0,0.0,1943600.0,0.32388351512656927,629500.0,0.0,130.18563886314686,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
2021-03-01,wine and whiskey,327600.0,9,0.0,305600.0,0.0,22000.0,0.0,0.0,1943600.0,0.1685532002469644,305600.0,0.0,100.0,native,2026-07-17T23:15:52.362646+00:00,exchange_history_v2_exit_aware
