asset_id,period_end,observed_at,price_per_share,market_cap,event_type,source_type,source_reference,collected_at,researcher,precision_status,notes,volume,frequency,implied_market_cap,warning_reason
rally-06brm,2023-12-31,2023-12-29T00:00:00Z,7.35,13598.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,13597.5,chart_observation_marked_exact
rally-06brm,2024-03-31,2024-03-28T00:00:00Z,8.75,16188.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16187.5,chart_observation_marked_exact
rally-06brm,2024-06-30,2024-06-24T00:00:00Z,8.75,16188.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16187.5,chart_observation_marked_exact
rally-06brm,2024-09-30,2024-09-25T00:00:00Z,8.5,15725.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15725.0,chart_observation_marked_exact
rally-06brm,2024-12-31,2024-12-27T00:00:00Z,8.65,16003.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16002.5,chart_observation_marked_exact
rally-06brm,2025-03-31,2025-03-31T00:00:00Z,8.65,16003.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,16002.5,chart_observation_marked_exact
rally-06brm,2025-06-30,2025-06-25T00:00:00Z,8.6,15910.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15910.0,chart_observation_marked_exact
rally-06brm,2025-09-30,2025-09-26T00:00:00Z,5.7,10545.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,10545.0,chart_observation_marked_exact
rally-06brm,2025-12-31,2025-12-29T00:00:00Z,5.8,10730.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,10730.0,chart_observation_marked_exact
rally-06brm,2026-03-31,2026-03-26T00:00:00Z,8.25,15263.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15262.5,chart_observation_marked_exact
rally-06brm,2026-06-30,2026-06-26T00:00:00Z,8.25,15263.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,,,quarterly,15262.5,chart_observation_marked_exact
rally-09beaux,2021-03-31,2021-01-01T00:00:00Z,5.0,34000.0,offering_price,rally_app,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Initial offering. Submitted asset_id was rally-09beau.,,quarterly,34000.0,observed_at_exceeds_quarter_lookback:89d; offering_price_excluded_from_secondary_returns
rally-09beaux,2021-06-30,2021-05-19T00:00:00Z,3.65,24820.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,24820.0,observed_at_exceeds_quarter_lookback:42d; chart_observation_marked_exact
rally-09beaux,2021-09-30,2021-08-10T00:00:00Z,4.65,31620.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,31620.000000000004,observed_at_exceeds_quarter_lookback:51d; chart_observation_marked_exact
rally-09beaux,2021-12-31,2021-11-03T00:00:00Z,6.8,46240.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,chart_estimate,Nearest available observation before quarter-end. Submitted precision_status was approx. Submitted asset_id was rally-09beau.,,quarterly,46240.0,observed_at_exceeds_quarter_lookback:58d
rally-09beaux,2022-03-31,2022-03-29T00:00:00Z,6.4,43520.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,43520.0,chart_observation_marked_exact
rally-09beaux,2022-06-30,2022-06-29T00:00:00Z,4.8,32640.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,32640.0,chart_observation_marked_exact
rally-09beaux,2022-09-30,2022-09-29T00:00:00Z,5.95,40460.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,40460.0,chart_observation_marked_exact
rally-09beaux,2022-12-31,2022-12-30T00:00:00Z,4.45,30260.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,30260.0,chart_observation_marked_exact
rally-09beaux,2023-03-31,2023-03-31T00:00:00Z,7.0,47600.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,47600.0,chart_observation_marked_exact
rally-09beaux,2023-06-30,2023-06-26T00:00:00Z,7.35,49980.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,49980.0,chart_observation_marked_exact
rally-09beaux,2023-09-30,2023-09-26T00:00:00Z,6.9,46920.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,46920.0,chart_observation_marked_exact
rally-09beaux,2023-12-31,2023-12-27T00:00:00Z,6.75,45900.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,45900.0,chart_observation_marked_exact
rally-09beaux,2024-03-31,2024-03-28T00:00:00Z,6.75,45900.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,45900.0,chart_observation_marked_exact
rally-09beaux,2024-06-30,2024-06-28T00:00:00Z,6.3,42840.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,42840.0,chart_observation_marked_exact
rally-09beaux,2024-09-30,2024-09-27T00:00:00Z,6.35,43180.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,43180.0,chart_observation_marked_exact
rally-09beaux,2024-12-31,2024-12-30T00:00:00Z,6.1,41480.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,41480.0,chart_observation_marked_exact
rally-09beaux,2025-03-31,2025-03-31T00:00:00Z,6.1,41480.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,41480.0,chart_observation_marked_exact
rally-09beaux,2025-06-30,2025-06-25T00:00:00Z,5.8,39440.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,39440.0,chart_observation_marked_exact
rally-09beaux,2025-09-30,2025-09-25T00:00:00Z,6.65,45220.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,45220.0,chart_observation_marked_exact
rally-09beaux,2025-12-31,2025-12-31T00:00:00Z,5.45,37060.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,37060.0,chart_observation_marked_exact
rally-09beaux,2026-03-31,2026-03-27T00:00:00Z,5.4,36720.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,36720.0,chart_observation_marked_exact
rally-09beaux,2026-06-30,2026-06-29T00:00:00Z,5.4,36720.0,chart_observation,rally_app_chart,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Submitted asset_id was rally-09beau.,,quarterly,36720.0,chart_observation_marked_exact
rally-09rbleroy,2021-09-30,2021-08-01T00:00:00Z,25.0,107500.0,offering_price,rally_app,Rally App,2026-07-14T00:00:00Z,Marshall,exact,Initial offering,,quarterly,107500.0,observed_at_exceeds_quarter_lookback:60d; offering_price_excluded_from_secondary_returns
